brand,product_name,full_price_usd,sale_price_usd,image_url
Oscar de la Renta,Porcelain Flowers Jacquard Minidress,"$3,690","$8,290",/static/images/porcelain_flowers_jacquard_minidress.jpg
TOM FORD,Stretch-Silk Georgette Column Gown,"$8,290",$745,/static/images/stretchsilk_georgette_column_gown.jpg
SIMKHAI,Cailinn Appliqué Linen-Blend Minidress,$745,$815,/static/images/cailinn_applique_linenblend_minidress.jpg
Loulou de Saison,Susan Twisted Collar Silk Midi-Dress,$815,$300,/static/images/susan_twisted_collar_silk_mididress.jpg
Simone Rocha,3D Floral Appliqué Drop Waist Cotton Midi-Dress,"$1,430",$300,/static/images/3d_floral_applique_drop_waist_cotton_mididress.jpg
Teri Jon by Rickie Freeman,Crepe Flower Print Minidress,$590,$388,/static/images/crepe_flower_print_minidress.jpg
Dress The Population,Adeline Sequined Floral-Appliqué Minidress,$388,$300,/static/images/adeline_sequined_floralapplique_minidress.jpg
A.L.C.,Eliana Lace Strapless Minidress,$550,$598,/static/images/eliana_lace_strapless_minidress.jpg
Retrofête,Flavio Floral Lace Minidress,$598,$300,/static/images/flavio_floral_lace_minidress.jpg
Alberta Ferretti,Floral Wood-Blend Midi-Dress,"$1,765",$300,/static/images/floral_woodblend_mididress.jpg
Nicholas the Label,Milena Strapless Satin-Georgette Gown,$795,$300,/static/images/milena_strapless_satingeorgette_gown.jpg
Retrofête,Xylina Lace Minidress,$598,$300,/static/images/xylina_lace_minidress.jpg
Toteme,Mohair Knit Tank Midi-Dress,"$1,040","$1,390",/static/images/mohair_knit_tank_mididress.jpg
Adam Lippes,Sloan Compact Jacquard Midi-Dress,"$1,390",$300,/static/images/sloan_compact_jacquard_mididress.jpg
Prada,Sablé Dress,"$4,600",$495,/static/images/sable_dress.jpg
Cinq à Sept,Asilia Paper Floral Organza Midi-Dress,$495,$148.49,/static/images/asilia_paper_floral_organza_mididress.jpg
Bronx Banco,Sabrina Embroidered A-Line Midi-Dress,$850,$300,/static/images/sabrina_embroidered_aline_mididress.jpg
DÔEN,Tahlia Floral Silk V-Neck Midi-Dress,$548,$748,/static/images/tahlia_floral_silk_vneck_mididress.jpg
Dress The Population,Monica Embroidered Silk Sleeveless Gown,$748,$300,/static/images/monica_embroidered_silk_sleeveless_gown.jpg
LaPointe,Satin Feather-Hem Shift Minidress,"$1,650",$300,/static/images/satin_featherhem_shift_minidress.jpg
Brandon Maxwell,The Bridges Mixed Media Maxi Dress,"$2,100",$300,/static/images/the_bridges_mixed_media_maxi_dress.jpg
Chiara Boni La Petite Robe,Flower-Appliquéd Stretch Cotton Maxi Dress,"$1,090",$300,/static/images/flowerappliqued_stretch_cotton_maxi_dress.jpg
